Label:, CH2: Power Spectrum
DateTime:, Wed Jan  1 00:08:23 2003
DataKind:, CH2, PowerSpec, Mag
DataPoints:, 802
DataCalc:
Frequency:, 0.000 , 1600.000, Hz
Sample:, 2048, Internal
Average:, 0, Power/Sum
Voltage(CH2):, 10.000, dBVrms
EU/V(CH2):, 1.000E+00
Window(CH2):, Hann
X-AxisScale:, Lin
X-AxisUnit:, Hz
Y-AxisScale:, Log
Y-AxisUnit:, V
Y-AxisMagniude:, rms
4.94000000E+02, -8.22569569E+01
4.96000000E+02, -8.87440039E+01
4.98000000E+02, -1.00266196E+02
5.00000000E+02, -9.67711794E+01
5.02000000E+02, -9.81037490E+01
5.04000000E+02, -9.15645077E+01
5.06000000E+02, -9.17489896E+01
5.08000000E+02, -1.02317691E+02
5.10000000E+02, -9.70227794E+01
5.12000000E+02, -9.73391198E+01
5.14000000E+02, -9.28569456E+01
5.16000000E+02, -8.97790386E+01
5.18000000E+02, -8.74890651E+01
5.20000000E+02, -9.36080704E+01
5.22000000E+02, -1.00849390E+02
5.24000000E+02, -9.51541416E+01
5.26000000E+02, -9.47139480E+01
5.28000000E+02, -9.07676510E+01
5.30000000E+02, -8.77673570E+01
5.32000000E+02, -8.97129594E+01
5.34000000E+02, -9.41812577E+01
5.36000000E+02, -9.12075637E+01
5.38000000E+02, -9.00322524E+01
5.40000000E+02, -8.93220652E+01
5.42000000E+02, -9.36593171E+01
5.44000000E+02, -9.30881539E+01
5.46000000E+02, -8.90804353E+01
5.48000000E+02, -9.29719087E+01
5.50000000E+02, -9.57220157E+01
5.52000000E+02, -9.09402749E+01
5.54000000E+02, -9.02603385E+01
5.56000000E+02, -9.32721510E+01
5.58000000E+02, -9.59536121E+01
5.60000000E+02, -1.03026783E+02
5.62000000E+02, -9.34389387E+01
5.64000000E+02, -9.14277711E+01
5.66000000E+02, -9.02399402E+01
5.68000000E+02, -9.27843401E+01
5.70000000E+02, -1.07789891E+02
5.72000000E+02, -9.76772719E+01
5.74000000E+02, -9.23874188E+01
5.76000000E+02, -8.82152904E+01
5.78000000E+02, -8.74048750E+01
5.80000000E+02, -9.22947313E+01
5.82000000E+02, -9.90656488E+01
5.84000000E+02, -1.08126305E+02
5.86000000E+02, -9.65598534E+01
5.88000000E+02, -1.00745564E+02
5.90000000E+02, -9.42662915E+01
5.92000000E+02, -9.51799313E+01
5.94000000E+02, -1.03023565E+02
5.96000000E+02, -1.08505969E+02
5.98000000E+02, -8.82478249E+01
6.00000000E+02, -8.36191600E+01
6.02000000E+02, -9.15428925E+01
6.04000000E+02, -9.96917730E+01
6.06000000E+02, -1.01849231E+02
6.08000000E+02, -1.00606810E+02
6.10000000E+02, -9.18923953E+01
6.12000000E+02, -8.62005548E+01
6.14000000E+02, -8.96373863E+01
6.16000000E+02, -9.14359092E+01
6.18000000E+02, -9.27012584E+01
6.20000000E+02, -1.02753213E+02
6.22000000E+02, -1.03763867E+02
6.24000000E+02, -1.02684192E+02
6.26000000E+02, -1.03147766E+02
6.28000000E+02, -9.85151218E+01
6.30000000E+02, -1.05613354E+02
6.32000000E+02, -9.66472537E+01
6.34000000E+02, -9.59065773E+01
6.36000000E+02, -9.33035250E+01
6.38000000E+02, -9.94740666E+01
6.40000000E+02, -1.01740355E+02
6.42000000E+02, -1.12266121E+02
6.44000000E+02, -9.58003342E+01
6.46000000E+02, -9.42694631E+01
6.48000000E+02, -9.87297012E+01
6.50000000E+02, -1.05404193E+02
6.52000000E+02, -9.78882993E+01
6.54000000E+02, -9.95555590E+01
6.56000000E+02, -9.42540480E+01
6.58000000E+02, -9.13699525E+01
6.60000000E+02, -9.39467492E+01
6.62000000E+02, -1.03669645E+02
6.64000000E+02, -1.03907387E+02
6.66000000E+02, -1.04117323E+02
6.68000000E+02, -9.87095719E+01
6.70000000E+02, -9.71231604E+01
6.72000000E+02, -9.48395102E+01
6.74000000E+02, -9.89015387E+01
6.76000000E+02, -1.06123445E+02
6.78000000E+02, -1.16877200E+02
6.80000000E+02, -1.12287199E+02
6.82000000E+02, -9.38127519E+01
6.84000000E+02, -8.98493157E+01
6.86000000E+02, -9.77589006E+01
6.88000000E+02, -1.08417553E+02
6.90000000E+02, -1.00544133E+02
6.92000000E+02, -9.53025739E+01
6.94000000E+02, -9.85079144E+01
6.96000000E+02, -9.79747072E+01
6.98000000E+02, -9.63001056E+01
7.00000000E+02, -1.00619940E+02
7.02000000E+02, -9.81898748E+01
7.04000000E+02, -9.82259928E+01
7.06000000E+02, -9.60150885E+01
7.08000000E+02, -9.36516527E+01
7.10000000E+02, -9.11978689E+01
7.12000000E+02, -9.80565092E+01
7.14000000E+02, -9.97455420E+01
7.16000000E+02, -1.13127705E+02
7.18000000E+02, -9.63506170E+01
7.20000000E+02, -1.07346098E+02
7.22000000E+02, -1.00481378E+02
7.24000000E+02, -1.02173762E+02
7.26000000E+02, -1.01338347E+02
7.28000000E+02, -9.38747296E+01
7.30000000E+02, -9.79841117E+01
7.32000000E+02, -1.05531828E+02
7.34000000E+02, -1.02017397E+02
7.36000000E+02, -1.01529656E+02
7.38000000E+02, -1.13076904E+02
7.40000000E+02, -9.47978149E+01
7.42000000E+02, -9.17270205E+01
7.44000000E+02, -9.08945564E+01
7.46000000E+02, -9.43401195E+01
7.48000000E+02, -1.09837205E+02
7.50000000E+02, -1.06770726E+02
7.52000000E+02, -9.58767568E+01
7.54000000E+02, -9.56757326E+01
7.56000000E+02, -1.12646226E+02
7.58000000E+02, -1.14290414E+02
7.60000000E+02, -1.00717262E+02
7.62000000E+02, -1.03771958E+02
7.64000000E+02, -1.00649442E+02
7.66000000E+02, -9.58310089E+01
7.68000000E+02, -8.93868405E+01
7.70000000E+02, -9.34506224E+01
7.72000000E+02, -1.22131081E+02
7.74000000E+02, -9.68493748E+01
7.76000000E+02, -9.15403149E+01
7.78000000E+02, -9.33390547E+01
7.80000000E+02, -9.80529936E+01
7.82000000E+02, -9.58562120E+01
7.84000000E+02, -1.02650403E+02
7.86000000E+02, -1.05333081E+02
7.88000000E+02, -1.00192753E+02
7.90000000E+02, -9.30181959E+01
7.92000000E+02, -9.34831933E+01
7.94000000E+02, -9.49416965E+01
7.96000000E+02, -1.03236836E+02
7.98000000E+02, -9.75405311E+01
8.00000000E+02, -9.32791642E+01
8.02000000E+02, -9.29185861E+01
8.04000000E+02, -1.00000348E+02
8.06000000E+02, -9.42673209E+01
8.08000000E+02, -9.92589608E+01
8.10000000E+02, -9.89173489E+01
8.12000000E+02, -9.32409309E+01
8.14000000E+02, -9.24003466E+01
8.16000000E+02, -9.31670215E+01
8.18000000E+02, -9.84463378E+01
8.20000000E+02, -9.73759284E+01
8.22000000E+02, -9.44961063E+01
8.24000000E+02, -9.16894632E+01
8.26000000E+02, -9.35950883E+01
8.28000000E+02, -9.50885499E+01
8.30000000E+02, -9.99694113E+01
8.32000000E+02, -1.01145287E+02
8.34000000E+02, -1.09385495E+02
8.36000000E+02, -9.73770053E+01
8.38000000E+02, -9.95264150E+01
8.40000000E+02, -1.06326023E+02
8.42000000E+02, -1.00795417E+02
8.44000000E+02, -1.01328093E+02
8.46000000E+02, -9.13497671E+01
8.48000000E+02, -8.62701450E+01
8.50000000E+02, -9.36458078E+01
8.52000000E+02, -9.11959574E+01
8.54000000E+02, -9.20362537E+01
8.56000000E+02, -9.58561628E+01
8.58000000E+02, -9.51282985E+01
8.60000000E+02, -9.53719938E+01
8.62000000E+02, -9.67226783E+01
8.64000000E+02, -9.83549265E+01
8.66000000E+02, -9.57686013E+01
8.68000000E+02, -9.57890933E+01
8.70000000E+02, -8.93049999E+01
8.72000000E+02, -8.86698278E+01
8.74000000E+02, -9.53207930E+01
8.76000000E+02, -1.02071817E+02
8.78000000E+02, -1.03386744E+02
8.80000000E+02, -9.43570881E+01
8.82000000E+02, -9.25400009E+01
8.84000000E+02, -9.70625753E+01
8.86000000E+02, -9.35375061E+01
8.88000000E+02, -9.40240858E+01
8.90000000E+02, -1.01860382E+02
8.92000000E+02, -1.06569017E+02
8.94000000E+02, -9.19031240E+01
8.96000000E+02, -8.87800586E+01
8.98000000E+02, -9.40120611E+01
9.00000000E+02, -1.05504568E+02
9.02000000E+02, -1.03059284E+02
9.04000000E+02, -9.13637497E+01
9.06000000E+02, -8.84293694E+01
9.08000000E+02, -9.48144859E+01
9.10000000E+02, -9.55682412E+01
9.12000000E+02, -9.14539010E+01
9.14000000E+02, -9.76542916E+01
9.16000000E+02, -1.07251644E+02
9.18000000E+02, -9.62145200E+01
9.20000000E+02, -9.41282658E+01
9.22000000E+02, -9.78874592E+01
9.24000000E+02, -9.02098309E+01
9.26000000E+02, -1.00044438E+02
9.28000000E+02, -9.52030161E+01
9.30000000E+02, -9.55171659E+01
9.32000000E+02, -9.92824423E+01
