Label:, CH1: Time
DateTime:, Wed Jan  1 00:07:20 2003
DataKind:, CH1, Time, Real
DataPoints:, 2048
DataCalc:
Frequency:, 0.000 , 1600.000, Hz
Sample:, 2048, Internal
Average:, 0, Power/Sum
Voltage(CH1):, 10.000, dBVrms
EU/V(CH1):, 1.000E+00
Window(CH1):, Hann
X-AxisScale:, Lin
X-AxisUnit:, s
Y-AxisScale:, Lin
Y-AxisUnit:, V
Y-AxisMagniude:
1.58691406E-02, 2.74310056E-02
1.61132812E-02, 1.33544020E-02
1.63574219E-02, -7.52032647E-05
1.66015625E-02, -1.44412508E-02
1.68457031E-02, -2.83949450E-02
1.70898438E-02, -4.26871404E-02
1.73339844E-02, -5.64672463E-02
1.75781250E-02, -7.04316273E-02
1.78222656E-02, -8.39094594E-02
1.80664062E-02, -9.80122313E-02
1.83105469E-02, -1.09765418E-01
1.85546875E-02, -1.25310212E-01
1.87988281E-02, -1.37805194E-01
1.90429688E-02, -1.51906818E-01
1.92871094E-02, -1.64704621E-01
1.95312500E-02, -1.79422453E-01
1.97753906E-02, -1.92612216E-01
2.00195312E-02, -2.06845254E-01
2.02636719E-02, -2.18738064E-01
2.05078125E-02, -2.32087135E-01
2.07519531E-02, -2.45630041E-01
2.09960938E-02, -2.58532137E-01
2.12402344E-02, -2.71424174E-01
2.14843750E-02, -2.83534169E-01
2.17285156E-02, -2.96091735E-01
2.19726562E-02, -3.08640242E-01
2.22167969E-02, -3.21218103E-01
2.24609375E-02, -3.33047152E-01
2.27050781E-02, -3.45177233E-01
2.29492188E-02, -3.56226534E-01
2.31933594E-02, -3.69178414E-01
2.34375000E-02, -3.78695309E-01
2.36816406E-02, -3.90590161E-01
2.39257812E-02, -4.01002377E-01
2.41699219E-02, -4.13094074E-01
2.44140625E-02, -4.23578501E-01
2.46582031E-02, -4.34278190E-01
2.49023438E-02, -4.44521248E-01
2.51464844E-02, -4.55246419E-01
2.53906250E-02, -4.65596884E-01
2.56347656E-02, -4.76806939E-01
2.58789062E-02, -4.86317128E-01
2.61230469E-02, -4.96546447E-01
2.63671875E-02, -5.05903780E-01
2.66113281E-02, -5.15441298E-01
2.68554688E-02, -5.25971055E-01
2.70996094E-02, -5.34847975E-01
2.73437500E-02, -5.44833302E-01
2.75878906E-02, -5.53955495E-01
2.78320312E-02, -5.63885808E-01
2.80761719E-02, -5.72934449E-01
2.83203125E-02, -5.82509696E-01
2.85644531E-02, -5.90312660E-01
2.88085938E-02, -5.99649429E-01
