Label:, CH2: Power Spectrum
DateTime:, Wed Jan  1 00:05:34 2003
DataKind:, CH2, PowerSpec, Mag
DataPoints:, 802
DataCalc:
Frequency:, 0.000 , 500.000, Hz
Sample:, 2048, Internal
Average:, 0, Power/Sum
Voltage(CH2):, 10.000, dBVrms
EU/V(CH2):, 1.000E+00
Window(CH2):, Hann
X-AxisScale:, Lin
X-AxisUnit:, Hz
Y-AxisScale:, Log
Y-AxisUnit:, V
Y-AxisMagniude:, rms
1.53125000E+02, -9.15542001E+01
1.53750000E+02, -9.57457491E+01
1.54375000E+02, -8.73067072E+01
1.55000000E+02, -8.70880122E+01
1.55625000E+02, -9.04824654E+01
1.56250000E+02, -9.46501723E+01
1.56875000E+02, -9.10452971E+01
1.57500000E+02, -9.50132488E+01
1.58125000E+02, -8.75542403E+01
1.58750000E+02, -8.83835276E+01
1.59375000E+02, -9.43399981E+01
1.60000000E+02, -8.90915976E+01
1.60625000E+02, -9.30399136E+01
1.61250000E+02, -9.03434424E+01
1.61875000E+02, -9.01289015E+01
1.62500000E+02, -8.76982724E+01
1.63125000E+02, -8.69502776E+01
1.63750000E+02, -9.74160212E+01
1.64375000E+02, -9.17956662E+01
1.65000000E+02, -9.53135209E+01
1.65625000E+02, -9.54951679E+01
1.66250000E+02, -9.40310921E+01
1.66875000E+02, -8.90730396E+01
1.67500000E+02, -8.97040174E+01
1.68125000E+02, -9.78177226E+01
1.68750000E+02, -9.66649124E+01
1.69375000E+02, -9.19738641E+01
1.70000000E+02, -9.10909230E+01
1.70625000E+02, -8.89471723E+01
1.71250000E+02, -8.20404694E+01
1.71875000E+02, -8.80406933E+01
1.72500000E+02, -1.10943315E+02
1.73125000E+02, -1.03956002E+02
1.73750000E+02, -9.78791985E+01
1.74375000E+02, -9.97002814E+01
1.75000000E+02, -9.26522132E+01
1.75625000E+02, -8.82235221E+01
1.76250000E+02, -9.40943116E+01
1.76875000E+02, -9.66546155E+01
1.77500000E+02, -9.99725807E+01
1.78125000E+02, -9.18915627E+01
1.78750000E+02, -9.09706047E+01
1.79375000E+02, -8.72165634E+01
1.80000000E+02, -8.43138289E+01
1.80625000E+02, -8.82277764E+01
1.81250000E+02, -9.35195540E+01
1.81875000E+02, -1.08116461E+02
1.82500000E+02, -1.03185604E+02
1.83125000E+02, -9.83235218E+01
1.83750000E+02, -9.69573913E+01
1.84375000E+02, -1.00034387E+02
1.85000000E+02, -1.00304023E+02
1.85625000E+02, -9.76120895E+01
1.86250000E+02, -9.85503507E+01
1.86875000E+02, -9.59711966E+01
1.87500000E+02, -1.10860310E+02
1.88125000E+02, -8.93471415E+01
1.88750000E+02, -9.09923591E+01
1.89375000E+02, -9.58595122E+01
1.90000000E+02, -9.63996478E+01
1.90625000E+02, -9.97228424E+01
1.91250000E+02, -9.73647442E+01
1.91875000E+02, -9.57288396E+01
1.92500000E+02, -9.49266429E+01
1.93125000E+02, -9.94227470E+01
1.93750000E+02, -1.06105868E+02
1.94375000E+02, -1.06914554E+02
1.95000000E+02, -1.00804038E+02
1.95625000E+02, -9.52527467E+01
1.96250000E+02, -8.97976525E+01
1.96875000E+02, -8.54826809E+01
1.97500000E+02, -8.76151988E+01
1.98125000E+02, -9.58155352E+01
1.98750000E+02, -1.12762774E+02
1.99375000E+02, -9.72776153E+01
2.00000000E+02, -9.37787016E+01
2.00625000E+02, -1.01383058E+02
2.01250000E+02, -1.13812934E+02
2.01875000E+02, -1.21794059E+02
2.02500000E+02, -1.03161838E+02
2.03125000E+02, -1.03395154E+02
2.03750000E+02, -1.01484317E+02
2.04375000E+02, -9.55680579E+01
2.05000000E+02, -9.58555393E+01
2.05625000E+02, -9.84974491E+01
2.06250000E+02, -9.84971229E+01
2.06875000E+02, -9.55635576E+01
2.07500000E+02, -1.02987813E+02
2.08125000E+02, -1.05700694E+02
2.08750000E+02, -1.00074706E+02
2.09375000E+02, -9.35272545E+01
2.10000000E+02, -9.32940943E+01
2.10625000E+02, -1.04954761E+02
2.11250000E+02, -9.88173698E+01
2.11875000E+02, -9.98219908E+01
2.12500000E+02, -9.97487669E+01
2.13125000E+02, -1.02599157E+02
2.13750000E+02, -1.09897358E+02
2.14375000E+02, -1.11793478E+02
2.15000000E+02, -1.04009575E+02
2.15625000E+02, -9.95990330E+01
2.16250000E+02, -1.09828377E+02
2.16875000E+02, -1.04585939E+02
2.17500000E+02, -1.00274544E+02
2.18125000E+02, -9.33599682E+01
2.18750000E+02, -9.80357203E+01
2.19375000E+02, -9.99363021E+01
2.20000000E+02, -1.01914888E+02
2.20625000E+02, -1.11140439E+02
2.21250000E+02, -1.01630276E+02
2.21875000E+02, -9.90566742E+01
2.22500000E+02, -9.27454281E+01
2.23125000E+02, -9.66193078E+01
2.23750000E+02, -9.94564501E+01
2.24375000E+02, -9.93926607E+01
2.25000000E+02, -1.03805793E+02
2.25625000E+02, -1.10806154E+02
2.26250000E+02, -1.00485576E+02
2.26875000E+02, -1.00522429E+02
2.27500000E+02, -1.05490222E+02
2.28125000E+02, -1.03220251E+02
2.28750000E+02, -1.06148244E+02
2.29375000E+02, -1.11777728E+02
2.30000000E+02, -1.09062795E+02
2.30625000E+02, -1.03762720E+02
2.31250000E+02, -1.03301449E+02
2.31875000E+02, -1.03936524E+02
2.32500000E+02, -1.03160493E+02
2.33125000E+02, -1.09366261E+02
2.33750000E+02, -1.09532686E+02
2.34375000E+02, -1.17908111E+02
2.35000000E+02, -1.14993428E+02
2.35625000E+02, -1.04879369E+02
2.36250000E+02, -1.02039653E+02
2.36875000E+02, -1.07643666E+02
2.37500000E+02, -1.06526553E+02
2.38125000E+02, -1.01615504E+02
2.38750000E+02, -1.05590916E+02
2.39375000E+02, -1.01161634E+02
2.40000000E+02, -1.00509420E+02
2.40625000E+02, -1.08607056E+02
2.41250000E+02, -1.06904795E+02
2.41875000E+02, -1.03928254E+02
2.42500000E+02, -1.04670931E+02
2.43125000E+02, -1.02489670E+02
2.43750000E+02, -9.81599714E+01
2.44375000E+02, -1.02631976E+02
2.45000000E+02, -1.11295834E+02
2.45625000E+02, -1.05299754E+02
2.46250000E+02, -1.09931728E+02
2.46875000E+02, -1.08996555E+02
2.47500000E+02, -1.06335340E+02
2.48125000E+02, -1.02068202E+02
